Job_role,Client,Source,Recruiter Name,Submission_date,Interview_date,Offer_date,Joining_date,Status,Salary,Location,Client
RTL Design Engineer,Accenture,Referral,Recruiter_A,02-01-2024 00:00,12-01-2024 00:00,16-01-2024 00:00,29-01-2024 00:00,Interview,144779,Texas,Accenture
Verification Engineer,Amazon,Career Site,Recruiter_D,02-01-2024 00:00,11-01-2024 00:00,19-01-2024 00:00,10-02-2024 00:00,Interview,64867,Washington,Amazon
ASIC Design Engineer,Microsoft,Referral,Imtyaz,03-01-2024 00:00,06-01-2024 00:00,07-01-2024 00:00,16-01-2024 00:00,Interview,101650,California,Microsoft
Mechanical Engineer,Deloitte,Naukri,Imtyaz,03-01-2024 00:00,08-01-2024 00:00,09-01-2024 00:00,02-02-2024 00:00,offered,87444,New York,Deloitte
Technical Project Manager,Deloitte,Referral,Imtyaz,03-01-2024 00:00,07-01-2024 00:00,16-01-2024 00:00,04-02-2024 00:00,Joined,146520,California,Deloitte
RTL Design Engineer,Accenture,LinkedIn,Imtyaz,03-01-2024 00:00,10-01-2024 00:00,16-01-2024 00:00,06-02-2024 00:00,Interview,96144,California,Accenture
Mechanical Engineer,Amazon,LinkedIn,Recruiter_C,03-01-2024 00:00,09-01-2024 00:00,19-01-2024 00:00,06-02-2024 00:00,Offered,142412,New York,Amazon
RTL Design Engineer,Deloitte,Career Site,Recruiter_B,03-01-2024 00:00,07-01-2024 00:00,17-01-2024 00:00,10-02-2024 00:00,Offered,70364,California,Deloitte
Mechanical Engineer,Microsoft,Naukri,Imtyaz,03-01-2024 00:00,04-01-2024 00:00,14-01-2024 00:00,12-02-2024 00:00,Joined,115350,Illinois,Microsoft
ASIC Design Engineer,Deloitte,Naukri,Imtyaz,04-01-2024 00:00,10-01-2024 00:00,14-01-2024 00:00,19-01-2024 00:00,Interview,94440,New York,Deloitte
RTL Design Engineer,Google,Referral,Recruiter_B,04-01-2024 00:00,08-01-2024 00:00,10-01-2024 00:00,21-01-2024 00:00,Rejected,116797,Illinois,Google
Mechanical Engineer,Google,Indeed,Recruiter_D,04-01-2024 00:00,08-01-2024 00:00,10-01-2024 00:00,22-01-2024 00:00,Interview,62678,New York,Google
RTL Design Engineer,Accenture,Referral,Imtyaz,04-01-2024 00:00,13-01-2024 00:00,21-01-2024 00:00,27-01-2024 00:00,Interview,97298,New York,Accenture
RTL Design Engineer,Amazon,LinkedIn,Recruiter_D,04-01-2024 00:00,13-01-2024 00:00,16-01-2024 00:00,28-01-2024 00:00,Interview,148342,Texas,Amazon
Technical Project Manager,Amazon,LinkedIn,Recruiter_D,04-01-2024 00:00,13-01-2024 00:00,21-01-2024 00:00,31-01-2024 00:00,Joined,76342,New York,Amazon
RTL Design Engineer,Google,LinkedIn,Imtyaz,04-01-2024 00:00,14-01-2024 00:00,23-01-2024 00:00,20-02-2024 00:00,Interview,131115,New York,Google
Technical Project Manager,Accenture,Referral,Recruiter_B,05-01-2024 00:00,06-01-2024 00:00,09-01-2024 00:00,27-01-2024 00:00,Interview,131399,Illinois,Accenture
Mechanical Engineer,Amazon  ,Career Site,Recruiter_D,05-01-2024 00:00,14-01-2024 00:00,20-01-2024 00:00,29-01-2024 00:00,Interview,140576,Texas,Amazon  
Verification Engineer,Google,Indeed,Recruiter_B,05-01-2024 00:00,08-01-2024 00:00,09-01-2024 00:00,31-01-2024 00:00,Joined,147174,New York,Google
Mechanical Engineer,Accenture,Naukri,Recruiter_C,05-01-2024 00:00,13-01-2024 00:00,21-01-2024 00:00,03-02-2024 00:00,Rejected,77399,California,Accenture
RTL Design Engineer,Google,Referral,Recruiter_D,05-01-2024 00:00,09-01-2024 00:00,12-01-2024 00:00,05-02-2024 00:00,Interview,118269,Texas,Google
Verification Engineer,Accenture,Career Site,Imtyaz,05-01-2024 00:00,07-01-2024 00:00,13-01-2024 00:00,11-02-2024 00:00,Offered,145848,Washington,Accenture
Mechanical Engineer,Accenture,Career Site,Recruiter_D,05-01-2024 00:00,11-01-2024 00:00,14-01-2024 00:00,13-02-2024 00:00,Offered,100002,New York,Accenture
ASIC Design Engineer,Deloitte,Career Site,Recruiter_C,05-01-2024 00:00,10-01-2024 00:00,20-01-2024 00:00,15-02-2024 00:00,Offered,84799,California,Deloitte
Technical Project Manager,Accenture,Naukri,Recruiter_C,08-01-2024 00:00,09-01-2024 00:00,10-01-2024 00:00,21-01-2024 00:00,Offered,103808,Illinois,Accenture
ASIC Design Engineer,Microsoft,Referral,Imtyaz,08-01-2024 00:00,15-01-2024 00:00,16-01-2024 00:00,27-01-2024 00:00,Interview,144454,Illinois,Microsoft
Mechanical Engineer,Google,Career Site,Recruiter_D,08-01-2024 00:00,12-01-2024 00:00,17-01-2024 00:00,27-01-2024 00:00,Interview,80088,Texas,Google
Verification Engineer,Accenture,Career Site,Imtyaz,08-01-2024 00:00,16-01-2024 00:00,23-01-2024 00:00,02-02-2024 00:00,Offered,134212,Washington,Accenture
Verification Engineer,Amazon,Career Site,Imtyaz,08-01-2024 00:00,13-01-2024 00:00,18-01-2024 00:00,03-02-2024 00:00,Rejected,77366,Washington,Amazon
